,competitionIdx,L1,L2,Attendance,Weather,PitchCondition,GoalsHalf1,GoalsHalf2,sum_goals,half_1_percent,half_2_percent,Unnamed: 11,Unnamed: 12,l1_new,uniformly_spaced_point,quantiles,l2_new
79250,1352,1.220894647,0.9952089159999999,without fans,Hot,good,1,0,1,100.0,0.0,,,2.331773841,0.9349605959999999,1.513791193,1.9000033330000001
79251,1352,1.063872,1.18195416,without fans,good,good,1,1,2,50.0,50.0,,,2.331786424,0.9349723940000001,1.5138842,1.900038111
79252,1352,1.86505949,0.7429486340000001,without fans,good,good,0,2,2,0.0,100.0,,,2.3317900959999998,0.934984191,1.51397722,1.9001035169999998
79253,1352,1.019605502,1.305727047,without fans,Cold,good,0,1,1,0.0,100.0,,,2.33180821,0.934995989,1.514070253,1.9001899969999998
79254,1352,0.907202755,1.237876035,without fans,Cold,good,1,3,4,25.0,75.0,,,2.331900577,0.9350077859999999,1.5141632999999999,1.900369641
79256,1352,1.0710928999999998,0.92679981,without fans,good,good,2,1,3,66.66666667,33.33333333,,,2.332016225,0.9350313809999999,1.514349432,1.900425061
79257,1352,1.5002732890000001,0.868671205,without fans,good,Excellent,0,3,3,0.0,100.0,,,2.332049704,0.9350431790000001,1.514442517,1.900523785
79258,1352,0.8720353609999999,1.56125222,without fans,Cold,Excellent,3,1,4,75.0,25.0,,,2.332065724,0.935054976,1.5145356159999999,1.900525327
79259,1352,1.183564866,1.002894509,without fans,good,Uneven & Cutting up,1,0,1,100.0,0.0,,,2.332071395,0.935066774,1.5146287280000001,1.900539578
79260,1352,0.856676799,0.9842154470000001,without fans,good,good,2,2,4,50.0,50.0,,,2.332104015,0.9350785709999999,1.5147218530000002,1.9007481130000001
79261,1352,1.5098546330000002,0.8009280459999999,without fans,Hot,good,2,1,3,66.66666667,33.33333333,,,2.332172275,0.9350903690000001,1.514814991,1.900784145
79262,1352,1.492594358,0.692079531,without fans,Hot,good,0,1,1,0.0,100.0,,,2.33239562,0.935102166,1.5149081430000002,1.9008114459999998
79263,1352,0.9563460140000001,1.038233768,without fans,Hot,good,0,1,1,0.0,100.0,,,2.332485582,0.9351139629999999,1.515001307,1.9008641730000002
79264,1352,1.176100151,1.044169154,without fans,good,Excellent,2,3,5,40.0,60.0,,,2.33253836,0.9351257609999999,1.515094485,1.900881414
79265,1352,1.127862903,0.7100343459999999,without fans,good,Regular,1,3,4,25.0,75.0,,,2.332569363,0.935137558,1.515187676,1.9009597280000001
79267,1352,1.839364504,0.479505389,without fans,Mild,Regular,0,1,1,0.0,100.0,,,2.33263148,0.935161153,1.5153740969999998,1.901022934
79268,1352,1.7373312419999998,0.60927931,without fans,good,Excellent,2,3,5,40.0,60.0,,,2.332698566,0.935172951,1.5154673269999999,1.901054653
79269,1352,1.71503108,0.621115579,without fans,Cold,good,2,0,2,100.0,0.0,,,2.3327395269999998,0.935184748,1.515560571,1.901163355
79270,1352,0.8460183579999999,1.4923128280000002,without fans,Cold,good,1,0,1,100.0,0.0,,,2.332967391,0.9351965459999999,1.515653827,1.901165374
79271,1352,1.4409942269999998,0.824513919,without fans,good,good,0,3,3,0.0,100.0,,,2.333009065,0.935208343,1.515747097,1.901371893
79272,1352,1.479386738,0.655183899,without fans,good,good,1,0,1,100.0,0.0,,,2.33305816,0.935220141,1.51584038,1.901387311
79273,1352,1.6762435869999999,0.5455724470000001,without fans,Cold,Excellent,1,2,3,33.33333333,66.66666667,,,2.333384327,0.9352319379999999,1.515933676,1.901530749
79274,1352,1.2325245409999999,0.726571605,without fans,good,good,0,1,1,0.0,100.0,,,2.333473642,0.935243736,1.516026986,1.901554332
79275,1352,1.239494455,1.066019303,without fans,Hot,Excellent,0,2,2,0.0,100.0,,,2.333592125,0.935255533,1.516120308,1.9016853580000002
79277,1352,1.061000798,1.124542926,without fans,good,good,0,3,3,0.0,100.0,,,2.3336572369999997,0.935279128,1.5163069930000002,1.9017820559999998
79278,1352,1.006349896,1.028970929,without fans,good,good,2,2,4,50.0,50.0,,,2.333682632,0.935290925,1.516400356,1.9018719219999998
79279,1352,1.192541206,1.014146205,without fans,windy,good,2,3,5,40.0,60.0,,,2.333731208,0.935302723,1.516493731,1.9018823880000002
79280,1352,0.853716868,1.117763098,without fans,good,good,4,0,4,100.0,0.0,,,2.333837311,0.93531452,1.51658712,1.9019607669999998
79281,1352,0.8912211870000001,1.109616943,without fans,good,Excellent,2,1,3,66.66666667,33.33333333,,,2.333877181,0.935326318,1.516680522,1.902030897
79282,1352,1.005018182,1.135512045,without fans,Cold,Excellent,1,2,3,33.33333333,66.66666667,,,2.333883795,0.935338115,1.516773937,1.9020547140000001
79283,1352,1.185243153,0.889348301,without fans,not defined,not defined,0,3,3,0.0,100.0,,,2.3339060480000002,0.9353499129999999,1.516867365,1.902058999
79284,1352,1.214733985,0.6868225920000001,without fans,windy,good,3,0,3,100.0,0.0,,,2.334023536,0.93536171,1.5169608069999998,1.902145
79285,1352,0.5665925860000001,1.856429339,without fans,good,good,0,2,2,0.0,100.0,,,2.334125776,0.935373508,1.5170542619999998,1.902263303
79286,1352,1.5421508419999999,0.697577989,without fans,good,good,0,1,1,0.0,100.0,,,2.3341409730000002,0.935385305,1.51714773,1.902277475
79287,1352,0.9920568809999999,1.21368645,without fans,Hot,good,1,1,2,50.0,50.0,,,2.334185142,0.935397103,1.517241211,1.902409145
79288,1352,1.139643878,0.7318087329999999,without fans,Sun,Regular,2,2,4,50.0,50.0,,,2.334420872,0.9354089,1.517334706,1.902420719
79289,1352,1.2406505540000001,0.726813377,without fans,good,good,1,1,2,50.0,50.0,,,2.334511626,0.9354206970000001,1.5174282140000002,1.902633606
79290,1352,1.171535085,0.926899395,without fans,good,good,1,0,1,100.0,0.0,,,2.334643653,0.935432495,1.517521735,1.9027398759999998
79291,1352,1.019410522,0.9984803959999999,without fans,good,Regular,1,3,4,25.0,75.0,,,2.334737279,0.935444292,1.51761527,1.902760835
79292,1352,1.509086243,0.641971945,without fans,good,good,1,1,2,50.0,50.0,,,2.33485334,0.93545609,1.517708817,1.902772521
79293,1352,1.7464541919999998,0.902031148,without fans,good,good,3,0,3,100.0,0.0,,,2.33487458,0.935467887,1.517802378,1.902877242
